Date,High,Low,close,Volume
1998-10-05,388.084991,342.890991,369.908997,2732524
1998-10-06,385.628998,371.382996,385.138,477160
1998-10-07,403.313995,377.769012,398.402008,647460
1998-10-08,396.928009,376.295013,382.190002,292460
1998-10-09,394.963013,386.119995,388.084991,259155
1998-10-12,392.506989,381.208008,386.119995,121421
1998-10-13,395.945007,381.699005,393.980011,164200
1998-10-14,425.420013,393.980011,416.578003,230788
1998-10-15,431.806,413.139008,431.315002,215339
1998-10-16,457.351013,433.279999,444.57901,490306
1998-10-19,471.105988,446.052002,466.684998,711122
1998-10-20,465.701996,446.052002,448.016998,311372
1998-10-21,444.087006,419.524994,430.333008,214618
1998-10-22,442.122986,423.454987,437.700989,254990
1998-10-23,456.859985,435.244995,449.981995,152235
1998-10-26,449.981995,432.298004,433.770996,124584
1998-10-27,439.174988,430.333008,433.279999,99881
1998-10-28,432.298004,424.928986,429.841003,61557
1998-10-29,449,425.420013,444.57901,94612
1998-10-30,451.946991,448.016998,450.964996,137743
1998-11-02,480.931,450.964996,476.019012,122249
1998-11-03,469.631989,457.351013,469.631989,111529
1998-11-04,471.105988,454.403992,463.737,103325
1998-11-05,481.421997,465.701996,474.545013,238593
1998-11-06,486.334991,476.51001,482.404999,216386
1998-11-09,483.386993,474.053986,479.457001,95235
1998-11-10,478.475006,449.981995,452.929993,92683
1998-11-11,473.562012,457.84201,460.790009,76798
1998-11-12,486.334991,449,482.404999,114700
1998-11-13,478.966003,462.755005,464.720001,74288
1998-11-16,476.51001,465.701996,471.105988,77818
1998-11-17,473.562012,465.210999,470.123993,69464
1998-11-18,468.649994,453.911987,455.877014,111439
1998-11-19,464.720001,447.035004,461.772003,155401
1998-11-20,477.984009,467.666992,469.140991,123777
1998-11-23,483.878998,466.684998,470.123993,106087
1998-11-24,476.51001,462.755005,466.684998,75783
1998-11-25,469.140991,454.403992,468.649994,71951
1998-11-26,470.123993,460.790009,460.790009,65240
1998-11-27,466.684998,453.911987,455.877014,48361
1998-11-30,468.649994,452.929993,461.772003,57482
1998-12-01,460.790009,449.981995,453.42099,95141
1998-12-02,464.229004,447.035004,450.473999,50658
1998-12-03,483.386993,445.070007,476.51001,121153
1998-12-04,481.914001,466.684998,477.984009,59635
1998-12-07,483.386993,463.246002,471.596985,94945
1998-12-08,480.440002,463.737,479.457001,55586
1998-12-09,497.141998,478.475006,484.369995,125605
1998-12-10,490.756012,478.475006,486.334991,71945
1998-12-11,506.96701,479.457001,506.96701,165050
1998-12-14,509.915009,493.212006,501.071991,81715
1998-12-15,526.617004,502.054993,515.809998,100161
1998-12-16,535.458984,515.809998,535.458984,105167
1998-12-17,567.882019,527.599976,567.882019,103374
1998-12-18,586.549011,545.283997,548.231995,117765
1998-12-21,581.637024,555.109009,575.742004,75929
1998-12-22,597.356995,561.987,577.70697,90922
1998-12-23,577.70697,556.09198,574.758972,38275
1998-12-24,null,null,null,null
1998-12-25,null,null,null,null
1998-12-28,570.828979,560.021973,569.846985,29490
1998-12-29,569.846985,546.267029,563.952026,31102
1998-12-30,571.812012,556.09198,564.934021,35461
1998-12-31,null,null,null,null
1999-01-01,null,null,null,null
1999-01-04,570.828979,560.021973,565.916992,55777
1999-01-05,569.846985,533.494995,543.31897,86699
1999-01-06,553.143982,534.47699,552.161987,130928
1999-01-07,578.689026,548.231995,575.742004,139409
1999-01-08,609.146973,575.742004,605.21698,117871
1999-01-11,622.901001,600.304016,606.198975,76062
1999-01-12,612.093994,592.44397,593.427002,101842
1999-01-13,609.146973,576.723999,579.671997,148606
1999-01-14,592.44397,569.846985,589.497009,109209
1999-01-15,609.146973,575.742004,609.146973,116714
1999-01-18,617.989014,596.374023,610.129028,51751
1999-01-19,613.077026,589.497009,606.198975,133912
1999-01-20,617.989014,601.286987,606.198975,94030
1999-01-21,620.937012,579.671997,599.322021,102126
1999-01-22,604.234009,589.497009,599.322021,64010
1999-01-25,617.989014,585.567017,601.286987,80062
1999-01-26,616.023987,599.322021,600.304016,47059
1999-01-27,608.164001,595.392029,599.322021,46692
1999-01-28,613.077026,592.44397,612.093994,62965
