Date,Adj Close
2000-02-01,13.86
2000-02-02,13.38
2000-02-03,13.09
2000-02-04,12.99
2000-02-07,12.89
2000-02-08,12.65
2000-02-09,12.27
2000-02-10,11.88
2000-02-11,11.5
2000-02-14,11.5
2000-02-15,11.69
2000-02-16,13.95
2000-02-17,14.63
2000-02-18,14.05
2000-02-22,13.42
2000-02-23,13.09
2000-02-24,13.18
2000-02-25,12.89
2000-02-28,13.09
2000-02-29,13.76
2000-03-01,13.04
2000-03-02,12.7
2000-03-03,12.7
2000-03-06,12.08
2000-03-07,11.31
2000-03-08,11.35
2000-03-09,11.74
2000-03-10,11.64
2000-03-13,11.5
2000-03-14,11.5
2000-03-15,11.88
2000-03-16,13.57
2000-03-17,13.13
2000-03-20,12.75
2000-03-21,14
2000-03-22,13.66
2000-03-23,14.39
2000-03-24,14.63
2000-03-27,14.24
2000-03-28,14.63
2000-03-29,14.71
2000-03-30,16.21
2000-03-31,17.71
2000-04-03,17.42
2000-04-04,16.89
2000-04-05,16.89
2000-04-06,16.31
2000-04-07,16.45
2000-04-10,16.74
2000-04-11,16.26
2000-04-12,16.7
2000-04-13,17.03
2000-04-14,16.31
2000-04-17,15.97
2000-04-18,16.12
2000-04-19,15.87
2000-04-20,16.07
2000-04-24,17.86
2000-04-25,19.55
2000-04-26,18.58
2000-04-27,18.92
2000-04-28,18.53
2000-05-01,19.99
2000-05-02,19.36
2000-05-03,19.31
2000-05-04,19.65
2000-05-05,19.21
2000-05-08,18.92
2000-05-09,20.13
2000-05-10,19.89
2000-05-11,20.13
2000-05-12,20.18
2000-05-15,20.66
2000-05-16,20.66
2000-05-17,20.42
2000-05-18,21.39
2000-05-19,21.05
2000-05-22,20.81
2000-05-23,21.05
2000-05-24,21.68
2000-05-25,20.86
2000-05-26,20.28
2000-05-30,21.63
2000-05-31,20.86
2000-06-01,21.92
2000-06-02,23.57
2000-06-05,22.5
2000-06-06,23.13
2000-06-07,23.37
2000-06-08,22.41
2000-06-09,22.02
2000-06-12,21.97
2000-06-13,22.02
2000-06-14,22.45
2000-06-15,21.83
2000-06-16,21.87
2000-06-19,22.45
2000-06-20,21.87
2000-06-21,21.1
2000-06-22,20.57
2000-06-23,20.81
2000-06-26,20.37
2000-06-27,20.62
2000-06-28,21.3
2000-06-29,21.79
2000-06-30,21.79
2000-07-03,21.79
2000-07-05,21.45
2000-07-06,21.93
2000-07-07,22.66
2000-07-10,22.95
2000-07-11,23.39
2000-07-12,24.32
2000-07-13,24.22
2000-07-14,24.56
2000-07-17,24.41
2000-07-18,23.68
2000-07-19,23.34
2000-07-20,24.07
2000-07-21,24.22
2000-07-24,23.34
2000-07-25,24.27
2000-07-26,25.92
2000-07-27,28.55
2000-07-28,27.62
2000-07-31,27.96
2000-08-01,26.65
2000-08-02,25.39
2000-08-03,26.07
2000-08-04,26.36
2000-08-07,26.8
2000-08-08,26.99
2000-08-09,25.68
2000-08-10,26.16
2000-08-11,26.55
2000-08-14,27.38
2000-08-15,27.38
2000-08-16,27.33
2000-08-17,27.82
2000-08-18,27.57
2000-08-21,27.23
2000-08-22,26.8
2000-08-23,26.6
2000-08-24,26.5
2000-08-25,26.31
2000-08-28,25.87
2000-08-29,25.92
2000-08-30,26.26
2000-08-31,27.33
2000-09-01,27.04
2000-09-05,27.14
2000-09-06,25.97
2000-09-07,26.16
2000-09-08,27.18
2000-09-11,27.23
2000-09-12,27.53
2000-09-13,27.87
2000-09-14,27.87
2000-09-15,28.06
2000-09-18,28.21
2000-09-19,28.79
2000-09-20,28.4
2000-09-21,29.76
2000-09-22,30.15
2000-09-25,29.08
2000-09-26,30.1
2000-09-27,30.79
2000-09-28,31.03
2000-09-29,30.64
2000-10-02,30.45
2000-10-03,29.28
2000-10-04,29.23
2000-10-05,28.89
2000-10-06,27.81
2000-10-09,27.67
2000-10-10,26.89
2000-10-11,27.62
2000-10-12,26.2
2000-10-13,26.84
2000-10-16,27.18
2000-10-17,27.08
2000-10-18,28.15
2000-10-19,29.52
2000-10-20,29.62
2000-10-23,30.06
2000-10-24,29.91
2000-10-25,30.25
2000-10-26,29.91
2000-10-27,30.64
2000-10-30,31.72
2000-10-31,30.64
2000-11-01,31.08
2000-11-02,31.57
2000-11-03,30.5
2000-11-06,29.91
2000-11-07,30.45
2000-11-08,30.59
2000-11-09,30.3
2000-11-10,31.33
2000-11-13,30.64
2000-11-14,31.18
2000-11-15,31.28
2000-11-16,31.08
2000-11-17,31.23
2000-11-20,30.55
2000-11-21,30.45
2000-11-22,29.96
2000-11-24,30.3
2000-11-27,29.86
2000-11-28,30.25
2000-11-29,31.08
2000-11-30,30.84
2000-12-01,30.64
2000-12-04,30.94
2000-12-05,32.01
2000-12-06,32.06
2000-12-07,32.4
2000-12-08,34.01
2000-12-11,33.62
2000-12-12,32.79
2000-12-13,31.23
2000-12-14,30.45
2000-12-15,29.72
2000-12-18,30.84
2000-12-19,29.37
2000-12-20,28.89
2000-12-21,31.62
2000-12-22,31.57
2000-12-26,32.74
2000-12-27,33.38
2000-12-28,33.53
2000-12-29,33.23
2001-01-02,32.3
2001-01-03,30.84
2001-01-04,29.17
2001-01-05,29.71
2001-01-08,29.91
2001-01-09,28.58
2001-01-10,28.49
2001-01-11,28.19
2001-01-12,27.26
2001-01-16,28.49
2001-01-17,27.51
2001-01-18,28.58
2001-01-19,27.85
2001-01-22,29.27
2001-01-23,30.15
2001-01-24,30.2
2001-01-25,30.49
2001-01-26,30.1
2001-01-29,30.22
2001-01-30,29.52
2001-01-31,28.98
2001-02-01,28.52
2001-02-02,29.72
2001-02-05,30.37
2001-02-06,29.67
2001-02-07,30.31
2001-02-08,29.39
2001-02-09,29.53
2001-02-12,29.84
2001-02-13,30.06
2001-02-14,30.7
2001-02-15,29.68
2001-02-16,29.56
2001-02-20,28.58
2001-02-21,27.68
2001-02-22,28.43
2001-02-23,28.66
2001-02-26,28.98
2001-02-27,29.44
2001-02-28,28.66
2001-03-01,28.95
2001-03-02,29.45
2001-03-05,28.95
2001-03-06,28.7
2001-03-07,29.05
2001-03-08,29.53
2001-03-09,29.73
2001-03-12,29.4
2001-03-13,29.49
2001-03-14,28.88
2001-03-15,29.76
2001-03-16,29.38
2001-03-19,27.61
2001-03-20,27.1
2001-03-21,26.71
2001-03-22,25.92
2001-03-23,26.08
2001-03-26,26.74
2001-03-27,26.55
2001-03-28,26.81
2001-03-29,27.11
2001-03-30,28.9
2001-04-02,28.2
2001-04-03,26.89
2001-04-04,26.34
2001-04-05,26.65
2001-04-06,25.13
2001-04-09,25
2001-04-10,25.86
2001-04-11,25.28
2001-04-12,25.18
2001-04-16,24.94
