indicator,calculation_time_in_seconds
AccumulationDistributionLine,0.00211
AverageTrueRange,0.00269
BollingerBands,0.001
ChaikinMoneyFlow,0.00097
ChaikinOscillator,0.0011
ChandeMomentumOscillator,0.0015
CommodityChannelIndex,0.09415
DetrendedPriceOscillator,0.00074
DirectionalMovementIndex,0.10118
DoubleExponentialMovingAverage,0.00084
EaseOfMovement,0.00079
Envelopes,0.0007
FibonacciRetracement,0.00269
ForecastOscillator,0.03258
IchimokuCloud,0.00165
IntradayMovementIndex,0.0012
KlingerOscillator,0.0167
LinearRegressionIndicator,0.0308
LinearRegressionSlope,0.00131
MarketFacilitationIndex,0.0005
MassIndex,0.00079
MedianPrice,0.00056
Momentum,0.0007
MovingAverage (simple),0.00066
MovingAverage (exponential),0.00063
MovingAverage (time_series),0.03212
MovingAverage (triangular),0.00078
MovingAverage (variable),0.11638
MovingAverageConvergenceDivergence,0.00083
NegativeVolumeIndex,0.09229
OnBalanceVolume,0.00103
ParabolicSAR,0.02135
Performance,0.0007
PositiveVolumeIndex,0.09108
PriceAndVolumeTrend,0.09465
PriceChannel,0.00086
PriceOscillator,0.00071
PriceRateOfChange,0.00069
ProjectionBands,0.14436
ProjectionOscillator,0.14463
Qstick,0.00068
RangeIndicator,0.18309
RelativeMomentumIndex,0.20258
RelativeStrengthIndex,0.06704
RelativeVolatilityIndex,0.82765
StandardDeviation,0.0009
StochasticMomentumIndex,0.00175
StochasticOscillator (fast),0.00159
StochasticOscillator (slow),0.00147
SwingIndex,0.00356
TimeSeriesForecast,0.03262
TripleExponentialMovingAverage,0.00088
TypicalPrice,0.00067
UltimateOscillator,0.00251
VerticalHorizontalFilter,0.0013
VolatilityChaikins,0.00091
VolumeOscillator,0.00068
VolumeRateOfChange,0.00072
WeightedClose,0.00061
WildersSmoothing,0.0858
WilliamsAccumulationDistribution,0.00204
WilliamsR,0.00104
