Date,Open,High,Low,close,Adj Close,Volume
1998-10-05,343.872986,388.084991,342.890991,369.908997,152.663528,2732524
1998-10-06,372.856995,385.628998,371.382996,385.138,158.948593,477160
1998-10-07,383.173004,403.313995,377.769012,398.402008,164.42276,647460
1998-10-08,390.049988,396.928009,376.295013,382.190002,157.731964,292460
1998-10-09,392.015015,394.963013,386.119995,388.084991,160.164902,259155
1998-10-12,391.523987,392.506989,381.208008,386.119995,159.353897,121421
1998-10-13,381.699005,395.945007,381.699005,393.980011,162.597794,164200
1998-10-14,393.980011,425.420013,393.980011,416.578003,171.924103,230788
1998-10-15,413.630005,431.806,413.139008,431.315002,178.006165,215339
1998-10-16,442.122986,457.351013,433.279999,444.57901,183.48027,490306
1998-10-19,447.035004,471.105988,446.052002,466.684998,192.603516,711122
1998-10-20,461.772003,465.701996,446.052002,448.016998,184.89917,311372
1998-10-21,444.087006,444.087006,419.524994,430.333008,177.600891,214618
1998-10-22,430.333008,442.122986,423.454987,437.700989,180.641663,254990
1998-10-23,439.174988,456.859985,435.244995,449.981995,185.710114,152235
1998-10-26,448.016998,449.981995,432.298004,433.770996,179.019745,124584
1998-10-27,435.735992,439.174988,430.333008,433.279999,178.817093,99881
1998-10-28,429.841003,432.298004,424.928986,429.841003,177.397812,61557
1998-10-29,427.876007,449,425.420013,444.57901,183.48027,94612
1998-10-30,450.964996,451.946991,448.016998,450.964996,186.115814,137743
1998-11-02,450.964996,480.931,450.964996,476.019012,196.455734,122249
1998-11-03,469.631989,469.631989,457.351013,469.631989,193.819794,111529
1998-11-04,471.105988,471.105988,454.403992,463.737,191.386902,103325
1998-11-05,465.701996,481.421997,465.701996,474.545013,195.847427,238593
1998-11-06,478.475006,486.334991,476.51001,482.404999,199.091232,216386
1998-11-09,480.440002,483.386993,474.053986,479.457001,197.874603,95235
1998-11-10,478.475006,478.475006,449.981995,452.929993,186.926804,92683
1998-11-11,461.772003,473.562012,457.84201,460.790009,190.17067,76798
1998-11-12,453.911987,486.334991,449,482.404999,199.091232,114700
1998-11-13,477.492004,478.966003,462.755005,464.720001,191.792603,74288
1998-11-16,471.596985,476.51001,465.701996,471.105988,194.428101,77818
1998-11-17,467.666992,473.562012,465.210999,470.123993,194.022827,69464
1998-11-18,467.666992,468.649994,453.911987,455.877014,188.143021,111439
1998-11-19,453.42099,464.720001,447.035004,461.772003,190.575897,155401
1998-11-20,471.596985,477.984009,467.666992,469.140991,193.617142,123777
1998-11-23,469.140991,483.878998,466.684998,470.123993,194.022827,106087
1998-11-24,473.562012,476.51001,462.755005,466.684998,192.603516,75783
1998-11-25,454.403992,469.140991,454.403992,468.649994,193.41452,71951
1998-11-26,466.684998,470.123993,460.790009,460.790009,190.17067,65240
1998-11-27,466.684998,466.684998,453.911987,455.877014,188.143021,48361
1998-11-30,452.929993,468.649994,452.929993,461.772003,190.575897,57482
1998-12-01,453.911987,460.790009,449.981995,453.42099,187.12941,95141
1998-12-02,456.859985,464.229004,447.035004,450.473999,185.913177,50658
1998-12-03,452.929993,483.386993,445.070007,476.51001,196.658386,121153
1998-12-04,468.649994,481.914001,466.684998,477.984009,197.266663,59635
1998-12-07,480.440002,483.386993,463.246002,471.596985,194.630737,94945
1998-12-08,469.631989,480.440002,463.737,479.457001,197.874603,55586
1998-12-09,480.931,497.141998,478.475006,484.369995,199.902237,125605
1998-12-10,482.404999,490.756012,478.475006,486.334991,200.713196,71945
1998-12-11,482.404999,506.96701,479.457001,506.96701,209.228134,165050
1998-12-14,501.071991,509.915009,493.212006,501.071991,206.795273,81715
1998-12-15,502.054993,526.617004,502.054993,515.809998,212.877762,100161
1998-12-16,520.721985,535.458984,515.809998,535.458984,220.986969,105167
1998-12-17,533.494995,567.882019,527.599976,567.882019,234.368149,103374
1998-12-18,586.549011,586.549011,545.283997,548.231995,226.258453,117765
1998-12-21,559.039001,581.637024,555.109009,575.742004,237.612015,75929
1998-12-22,573.776978,597.356995,561.987,577.70697,238.422958,90922
1998-12-23,571.812012,577.70697,556.09198,574.758972,237.206284,38275
1998-12-24,null,null,null,null,null,null
